x_abs_m,x_local_m,x_H2_molfrac,x_N2_molfrac,x_Air_molfrac,x_O2_molfrac,x_inert_molfrac
245.0,245.0,1.0,9.473213052572916e-219,2.4218539368663264e-279,5.0858932674192855e-280,9.473213052572916e-219
255.0,255.0,1.0,3.924265362815723e-218,1.1595248283598095e-278,2.4350021395555997e-279,3.924265362815723e-218
265.0,265.0,1.0,1.6199260592344783e-217,5.5403833144406124e-278,1.1634804960325286e-278,1.6199260592344783e-217
275.0,275.0,1.0,6.6642755934653934e-217,2.6419734648910187e-277,5.548144276271139e-278,6.6642755934653934e-217
285.0,285.0,1.0,2.7325750778189394e-216,1.2573228701046064e-276,2.6403780272196735e-277,2.7325750778189394e-216
295.0,295.0,1.0,1.1168350857660468e-215,5.971665720312116e-276,1.2540498012655444e-276,1.1168350857660468e-215
305.0,305.0,1.0,4.550264438956309e-215,2.8305763603798593e-275,5.944210356797704e-276,4.550264438956309e-215
315.0,315.0,1.0,1.8481814968083636e-214,1.339014409749086e-274,2.8119302604730804e-275,1.8481814968083636e-214
325.0,325.0,1.0,7.484107661945888e-214,6.321596960321894e-274,1.3275353616675977e-274,7.484107661945888e-214
335.0,335.0,1.0,3.021673227666905e-213,2.978514106731865e-273,6.254879624136916e-274,3.021673227666905e-213
345.0,345.0,1.0,1.2164367768589046e-212,1.4005670643856541e-272,2.9411908352098737e-273,1.2164367768589046e-212
355.0,355.0,1.0,4.883000734410684e-212,6.572636332754228e-272,1.3802536298783879e-272,4.883000734410684e-212
365.0,365.0,1.0,1.9546013209477432e-211,3.07827048675056e-271,6.464368022176175e-272,1.9546013209477432e-211
375.0,375.0,1.0,7.802273724912826e-211,1.4388166555381139e-270,3.021514976630039e-271,7.802273724912826e-211
385.0,385.0,1.0,3.105931487473203e-210,6.711748104499497e-270,1.4094671019448944e-270,3.105931487473203e-210
395.0,395.0,1.0,1.2330626464651232e-209,3.124621094164038e-269,6.56170429774448e-270,1.2330626464651232e-209
405.0,405.0,1.0,4.882191233007882e-209,1.451745843721605e-268,3.0486662718153706e-269,4.882191233007882e-209
415.0,415.0,1.0,1.9279404309522891e-208,6.731554076859147e-268,1.4136263561404207e-268,1.9279404309522891e-208
425.0,425.0,1.0,7.593351858290224e-208,3.115097169998211e-267,6.541704056996243e-268,7.593351858290224e-208
435.0,435.0,1.0,2.9829475843787342e-207,1.4386639552930768e-266,3.021194306115461e-267,2.9829475843787342e-207
445.0,445.0,1.0,1.1688001468773595e-206,6.63099385230898e-266,1.3925087089848858e-266,1.1688001468773595e-206
455.0,455.0,1.0,4.568010651026339e-206,3.050207452008544e-265,6.405435649217943e-266,4.568010651026339e-206
465.0,465.0,1.0,1.780800347074145e-205,1.4002694443368738e-264,2.940565833107435e-265,1.780800347074145e-205
475.0,475.0,1.0,6.924893845844465e-205,6.415423338241572e-264,1.3472389010307302e-264,6.924893845844465e-205
485.0,485.0,1.0,2.6861406246043467e-204,2.9333946272682817e-263,6.160128717263391e-264,2.6861406246043467e-204
495.0,495.0,1.0,1.039368614431204e-203,1.3385885971195122e-262,2.8110360539509757e-263,1.039368614431204e-203
505.0,505.0,1.0,4.0118319428853186e-203,6.096143731513556e-262,1.2801901836178468e-262,4.0118319428853186e-203
515.0,515.0,1.0,1.54473785961711e-202,2.7707332382220264e-261,5.818539800266255e-262,1.54473785961711e-202
525.0,525.0,1.0,5.933514985287607e-202,1.256798526283739e-260,2.6392769051958517e-261,5.933514985287607e-202
535.0,535.0,1.0,2.273633248098115e-201,5.689420516271598e-260,1.1947783084170355e-260,2.273633248098115e-201
545.0,545.0,1.0,8.691315052158994e-201,2.5704065663801554e-259,5.397853789398326e-260,8.691315052158994e-201
555.0,555.0,1.0,3.314458511922906e-200,1.158956185177393e-258,2.4338079888725253e-259,3.314458511922906e-200
565.0,565.0,1.0,1.2609756926765906e-199,5.215111688380253e-258,1.095173454559853e-258,1.2609756926765906e-199
575.0,575.0,1.0,4.785999380610709e-199,2.3420254144115397e-257,4.918253370264233e-258,4.785999380610709e-199
585.0,585.0,1.0,1.8122365163952472e-198,1.0496656360012046e-256,2.2042978356025294e-257,1.8122365163952472e-198
595.0,595.0,1.0,6.846013126999328e-198,4.695066359872781e-256,9.859639355732839e-257,6.846013126999328e-198
605.0,605.0,1.0,2.5801518976997887e-197,2.0958676929303128e-255,4.4013221551536563e-256,2.5801518976997887e-197
615.0,615.0,1.0,9.701556245873915e-197,9.337214973759275e-255,1.9608151444894477e-255,9.701556245873915e-197
625.0,625.0,1.0,3.639400299648474e-196,4.1514729500861666e-254,8.718093195180949e-255,3.639400299648474e-196
635.0,635.0,1.0,1.3621159169203833e-195,1.842122135645612e-253,3.868456484855785e-254,1.3621159169203833e-195
645.0,645.0,1.0,5.086247622800623e-195,8.157667091860657e-253,1.713110089290738e-253,5.086247622800623e-195
655.0,655.0,1.0,1.8948871049665424e-194,3.605328797683807e-252,7.571190475135994e-253,1.8948871049665424e-194
